Price,Area,Street,Facade,Direction,Saler,Type,Floor,Bathrooms,Bedrooms,Legal Doc,Price(million/m_square),District,City
2.23,23,Ngõ ngách,,,Chính chủ,Nhà ở,,3,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,96.96,Quận Ba Đình, Thành phố Hà Nội
0.001,88,,5.5,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,1.14E-05,Thành phố Móng Cái, Tỉnh Quảng Ninh
7.55,84,Ngõ ô tô đỗ cửa,4.2,,Nhà môi giới,Mặt bằng thương mại,,,5,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,89.88,Thành phố Biên Hòa, Tỉnh Đồng Nai
4.22,100,Mặt phố - Mặt đường,,Tây Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,,42.2,Thành phố Nha Trang, Tỉnh Khánh Hòa
2.9,90,Mặt phố - Mặt đường,4.5,,Chính chủ,Shophouse - Nhà phố,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,32.22,Thị xã Tân Uyên, Tỉnh Bình Dương
0.75,75,Ngõ 2 ô tô tránh,5,,Chính chủ,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,10,Quận Bình Tân, Thành phố Hồ Chí Minh
2.6,100,Ngõ 2 ô tô tránh,5,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,26,Huyện Đông Anh, Thành phố Hà Nội
5,100,Ngõ 2 ô tô tránh,5,,Nhà môi giới,Nhà ở,,3,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,50,Quận Bình Tân, Thành phố Hồ Chí Minh
0.555,264,Mặt phố - Mặt đường,,,Chính chủ,Đất - Đất nền - Nhà như đất,,,,,2.1,Huyện Bù Đăng, Tỉnh Bình Phước
3.1,33,Ngõ 2 ô tô tránh,3,,Nhà môi giới,Nhà ở,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,93.94,Quận Đống Đa, Thành phố Hà Nội
3.1,33,Ngõ 1 ô tô,3,,Nhà môi giới,Nhà ở,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,93.94,Quận Đống Đa, Thành phố Hà Nội
2,60,Ngõ 2 ô tô tránh,,,Chính chủ,Chung cư,,,,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",33.33,Quận Nam Từ Liêm, Thành phố Hà Nội
0.66,44,Mặt phố - Mặt đường,,,Chính chủ,Chung cư mini,,,1,,15,Quận Đống Đa, Thành phố Hà Nội
3.2,55,Ngõ 2 ô tô tránh,5,,Nhà môi giới,Nhà ở,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,58.18,Quận Đống Đa, Thành phố Hà Nội
10.5,828,Mặt phố - Mặt đường,12,Tây Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,12.68,Thị xã Phú Mỹ, Tỉnh Bà Rịa - Vũng Tàu
4.5,30,Mặt phố - Mặt đường,,,Chính chủ,Nhà ở,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,150,Quận Phú Nhuận, Thành phố Hồ Chí Minh
0.9,100,Ngõ ô tô đỗ cửa,5,Đông,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,9,Huyện Đồng Phú, Tỉnh Bình Phước
8.8,50,Ngõ 2 ô tô tránh,,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,176,Quận Đống Đa, Thành phố Hà Nội
6.9,109,Ngõ 1 ô tô,5,Đông Nam,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,63.3,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
19,306,Mặt phố - Mặt đường,,,Nhà môi giới,Biệt thự,,,5,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,62.09,Thành phố Thủ Dầu Một, Tỉnh Bình Dương
2.8,100,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,28,Huyện Long Thành, Tỉnh Đồng Nai
0.001,88,Ngõ 2 ô tô tránh,5.5,,Nhà môi giới,Biệt thự,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,1.14E-05,Thành phố Móng Cái, Tỉnh Quảng Ninh
4.6,68,Ngõ 2 ô tô tránh,6.9,"Đông Bắc, Tây Bắc",Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,67.65,Huyện Gia Lâm, Thành phố Hà Nội
0.799,105,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,7.61,Huyện Bắc Tân Uyên, Tỉnh Bình Dương
2.04,60,Ngõ 1 ô tô,4,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,34,Huyện Đông Anh, Thành phố Hà Nội
21,220,Mặt phố - Mặt đường,7.3,Tây Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,95.45,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
7.4,46,Mặt phố - Mặt đường,,,Nhà môi giới,Nhà ở,,,,,160.87,Quận Ba Đình, Thành phố Hà Nội
4.26,81,Mặt phố - Mặt đường,,"Đông Bắc, Tây Nam",Nhà môi giới,Biệt thự - Song lập - Đơn lập,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,52.59,Thành phố Huế, Tỉnh Thừa Thiên Huế
0.001,198,Ngõ 2 ô tô tránh,9,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,5.05E-06,Thành phố Móng Cái, Tỉnh Quảng Ninh
25,140,Mặt phố - Mặt đường,5,,Nhà môi giới,Khách sạn - Nhà nghỉ,,,24,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,178.57,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
70,150,Mặt phố - Mặt đường,6.5,,Nhà môi giới,Nhà ở,,,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,466.67,Quận Đống Đa, Thành phố Hà Nội
6.35,40,Ngõ 1 ô tô,4.8,,Nhà môi giới,Nhà ở,,4,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,158.75,Quận Hai Bà Trưng, Thành phố Hà Nội
3.3,150,Mặt phố - Mặt đường,5,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,22,Huyện Long Thành, Tỉnh Đồng Nai
23,116,Mặt phố - Mặt đường,,,Nhà môi giới,Nhà liền kề - Song lập - Đơn lập,,,,,198.28,Quận Bắc Từ Liêm, Thành phố Hà Nội
0.75,44,Ngõ 2 ô tô tránh,,,Chính chủ,Chung cư mini,,,,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",17.05,Quận Tây Hồ, Thành phố Hà Nội
0.67,43,Ngõ 2 ô tô tránh,,,Chính chủ,Chung cư mini,,,,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",15.58,Quận Ba Đình, Thành phố Hà Nội
19,256,Mặt phố - Mặt đường,10,"Đông Nam, Tây Bắc",Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,74.22,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
0.49,45,,,,Chính chủ,Chung cư mini,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,10.89,Quận Bắc Từ Liêm, Thành phố Hà Nội
1.74,120,Mặt phố - Mặt đường,,,Chính chủ,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,14.5,Thành phố Cam Ranh, Tỉnh Khánh Hòa
0.004,75,Ngõ 2 ô tô tránh,5,,Nhà môi giới,Nhà ở,,,1,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,5.33E-05,Thành phố Móng Cái, Tỉnh Quảng Ninh
1.2,198,Ngõ 1 ô tô,9,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,6.06,Thành phố Móng Cái, Tỉnh Quảng Ninh
6,34,Ngõ 2 ô tô tránh,,,Nhà môi giới,Nhà ở,,,4,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",176.47,Quận Đống Đa, Thành phố Hà Nội
5.16,60,Mặt phố - Mặt đường,4,Tây Tứ Trạch,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,86,Huyện Gia Lâm, Thành phố Hà Nội
2.3,77,Mặt phố - Mặt đường,,,Nhà môi giới,Chung cư,8,2,2,Hợp đồng mua bán,29.87,Thị xã Dĩ An, Tỉnh Bình Dương
16,95,Mặt phố - Mặt đường,5.2,Đông Bắc,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,168.42,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
6.6,31,Ngõ ô tô đỗ cửa,,,Nhà môi giới,Nhà ở,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,212.9,Quận 1, Thành phố Hồ Chí Minh
4.2,87,Ngõ 1 ô tô,4,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,48.28,Quận Long Biên, Thành phố Hà Nội
5.1,43,Ngõ ngách,3.3,"Đông Nam, Nam",Nhà môi giới,Nhà ở,5,4,7,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",118.6,Quận Ba Đình, Thành phố Hà Nội
5.35,75,Mặt phố - Mặt đường,5,,Nhà môi giới,Biệt thự,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,71.33,Huyện Bình Chánh, Thành phố Hồ Chí Minh
37.5,75,Mặt phố - Mặt đường,5,Đông Nam,Nhà môi giới,Nhà ở,,,8,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,500,Quận Hoàn Kiếm, Thành phố Hà Nội
16,48,Mặt phố - Mặt đường,8,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,333.33,Quận Đống Đa, Thành phố Hà Nội
2.6,250,Ngõ 2 ô tô tránh,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,10.4,Huyện Đồng Phú, Tỉnh Bình Phước
0.85,90,Mặt phố - Mặt đường,5,,Chính chủ,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,9.44,Quận Bình Tân, Thành phố Hồ Chí Minh
0.9,100,Mặt phố - Mặt đường,13,,Quảng cáo,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,9,Huyện Bàu Bàng, Tỉnh Bình Dương
6.4,267,Mặt phố - Mặt đường,,,Nhà môi giới,Shophouse - Nhà phố,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,23.97,Huyện Nhơn Trạch, Tỉnh Đồng Nai
1.75,120,Mặt phố - Mặt đường,5,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,14.58,Huyện Thạnh Phú, Tỉnh Bến Tre
8,38,Mặt phố - Mặt đường,,,Nhà môi giới,Nhà ở,,,4,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",210.53,Quận Thanh Xuân, Thành phố Hà Nội
1.26,110,Mặt phố - Mặt đường,,,Nhà môi giới,Biệt thự - Song lập - Đơn lập,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,11.43,Huyện Trảng Bom, Tỉnh Đồng Nai
0.98,103,Mặt phố - Mặt đường,5,,Quảng cáo,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,9.51,Huyện Cần Đước, Tỉnh Long An
12,140.5,Mặt phố - Mặt đường,6.4,Tây Tứ Trạch,Nhà môi giới,Nhà ở,1,2,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,85.41,Quận Hải Châu, Thành phố Đà Nẵng
2.64,80,Ngõ 2 ô tô tránh,,,Nhà môi giới,Chung cư,,,2,Hợp đồng mua bán,33,Quận Bắc Từ Liêm, Thành phố Hà Nội
4.25,44,Ngõ ô tô đỗ cửa,4.5,,Chính chủ,Nhà ở,,,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,96.59,Quận Phú Nhuận, Thành phố Hồ Chí Minh
0.74,35,Ngõ 1 ô tô,,,Chủ đầu tư,Chung cư mini,,,,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",21.14,Quận Hà Đông, Thành phố Hà Nội
2.1,59,Mặt phố - Mặt đường,,,Chính chủ,Chung cư,,,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,35.59,Huyện Bình Chánh, Thành phố Hồ Chí Minh
0.87,40.8,Ngõ 1 ô tô,4,Đông Bắc,Nhà môi giới,Bất động sản khác,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,21.31,Quận Hải An, Thành phố Hải Phòng
5.6,231,Ngõ 1 ô tô,,,Chính chủ,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,24.24,Thành phố Biên Hòa, Tỉnh Đồng Nai
2.45,43,Ngõ 1 ô tô,,,Nhà môi giới,Nhà ở,,,4,,56.98,Quận 12, Thành phố Hồ Chí Minh
0.6,1000,Mặt phố - Mặt đường,20,Đông,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,0.0006,Huyện Đồng Phú, Tỉnh Bình Phước
12.89,7163,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,1.8,Huyện Bắc Bình, Tỉnh Bình Thuận
4.5,40,Ngõ 2 ô tô tránh,,,Chính chủ,Nhà ở,,,5,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",112.5,Quận Ba Đình, Thành phố Hà Nội
2.2,1100,Mặt phố - Mặt đường,30,Tây,Chính chủ,Đất - Đất nền - Nhà như đất,,,,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",2,Thị xã Phú Mỹ, Tỉnh Bà Rịa - Vũng Tàu
4.71,82.7,Ngõ 1 ô tô,5,Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,56.95,Huyện Gia Lâm, Thành phố Hà Nội
5.3,136,Ngõ 2 ô tô tránh,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,39,Thành phố Cẩm Phả, Tỉnh Quảng Ninh
31.5,140,Mặt phố - Mặt đường,8,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,225,Quận Ba Đình, Thành phố Hà Nội
1.56,52,,,,Chính chủ,Chung cư,,,1,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,29.96,Quận Ninh Kiều, Thành phố Cần Thơ
0.97838,7526,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,0.00013,Huyện Bắc Bình, Tỉnh Bình Thuận
2.12,125,Mặt phố - Mặt đường,5,,Chính chủ,Nhà liền kề - Song lập - Đơn lập,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,16.98,Huyện Gò Dầu, Tỉnh Tây Ninh
6.2,252,Mặt phố - Mặt đường,10.5,Tây Nam,Nhà môi giới,Biệt thự,2,4,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,24.6,Thành phố Rạch Giá, Tỉnh Kiên Giang
1.9,43,Ngõ 1 ô tô,,"Đông Nam, Đông Bắc, Tây Bắc",Nhà môi giới,Nhà ở,,3,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,44.19,Quận Hải An, Thành phố Hải Phòng
11.6,108,Ngõ 3 ô tô tránh,,,Nhà môi giới,Nhà liền kề - Song lập - Đơn lập,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,107.41,Huyện Đông Anh, Thành phố Hà Nội
2.9,90,Mặt phố - Mặt đường,4.5,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,32.22,Thị xã Tân Uyên, Tỉnh Bình Dương
3.5,35,Ngõ ngách,3.5,,Nhà môi giới,Nhà ở,5,4,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,100,Quận Hoàng Mai, Thành phố Hà Nội
3,22,Ngõ ô tô đỗ cửa,3.3,Đông Bắc,Khách vãng lai,Nhà ở,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,136.36,Quận Ba Đình, Thành phố Hà Nội
4.1,100,Mặt phố - Mặt đường,5,,Chính chủ,Nhà ở,3,3,3,Hợp đồng mua bán,41,Huyện Trảng Bom, Tỉnh Đồng Nai
1.95,150,Mặt phố - Mặt đường,5,,Chính chủ,Phòng trọ/ Nhà trọ,,,5,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,13,Thị xã Bến Cát, Tỉnh Bình Dương
1.4,120,Ngõ 1 ô tô,4,Tây Nam,Chính chủ,Nhà ở,,,2,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",11.67,Thành phố Tây Ninh, Tỉnh Tây Ninh
5.45,125,Mặt phố - Mặt đường,,,Nhà môi giới,Nhà liền kề - Song lập - Đơn lập,,,,,43.6,Quận Ninh Kiều, Thành phố Cần Thơ
1.69,125,Mặt phố - Mặt đường,,,Nhà đầu tư,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,13.48,Huyện Thạnh Phú, Tỉnh Bến Tre
2.5,71.4,Ngõ 1 ô tô,,,Nhà môi giới,Shophouse - Nhà phố,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,35.01,Thị xã Tân Uyên, Tỉnh Bình Dương
5.5,48,Ngõ 1 ô tô,8,,Nhà môi giới,Nhà ở,,,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,114.58,Quận Gò Vấp, Thành phố Hồ Chí Minh
1.69,125,Mặt phố - Mặt đường,5,,Nhà đầu tư,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,13.52,Huyện Thạnh Phú, Tỉnh Bến Tre
1.32,110,Mặt phố - Mặt đường,,,Nhà đầu tư,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,12,Huyện Thạnh Phú, Tỉnh Bến Tre
12,55,Mặt phố - Mặt đường,6,,Nhà môi giới,Mặt bằng thương mại,7,6,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,218.18,Quận Thanh Xuân, Thành phố Hà Nội
3,43,Ngõ ngách,5,,Nhà môi giới,Nhà ở,,,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,69.77,Quận Hai Bà Trưng, Thành phố Hà Nội
7.3,65,Ngõ ô tô đỗ cửa,5,,Nhà môi giới,Nhà ở,,,5,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,112.31,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
1.5,106,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,14.15,Huyện Thoại Sơn, Tỉnh An Giang
13,94,Ngõ ô tô đỗ cửa,5,,Nhà môi giới,Nhà ở,,,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,138.3,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
2.6,30,Ngõ ngách,3,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,86.67,Quận Hà Đông, Thành phố Hà Nội
0.037,126,,6,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,0.00029365,Thành phố Cẩm Phả, Tỉnh Quảng Ninh
2.65,24,Ngõ ngách,,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,110.42,Quận Ba Đình, Thành phố Hà Nội
1.3,100,Mặt phố - Mặt đường,13,Đông Tứ Trạch,Chính chủ,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,13,Thành phố Bà Rịa, Tỉnh Bà Rịa - Vũng Tàu
7.5,85,Mặt phố - Mặt đường,4.5,,Nhà môi giới,Nhà ở,,,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,88.24,Thành phố Bảo Lộc, Tỉnh Lâm Đồng
2.5,51,Ngõ 1 ô tô,4.5,,Quảng cáo,Nhà ở,,3,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,49.02,Huyện An Dương, Thành phố Hải Phòng
4.2,35,Ngõ 1 ô tô,3.4,,Nhà môi giới,Nhà ở,,,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,120,Quận Gò Vấp, Thành phố Hồ Chí Minh
4,69,,,,Chính chủ,Chung cư,,,,,57.97,Thành phố Hạ Long, Tỉnh Quảng Ninh
1.7,100,Mặt phố - Mặt đường,5,,Nhà môi giới,Nhà liền kề - Song lập - Đơn lập,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,17,Quận Ninh Kiều, Thành phố Cần Thơ
2.5,67.8,,,,Nhà môi giới,Chung cư,,2,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,36.87,Quận Bắc Từ Liêm, Thành phố Hà Nội
1.1,150,Mặt phố - Mặt đường,,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,7.33,Thành phố Thủ Dầu Một, Tỉnh Bình Dương
4.7,37,Ngõ ô tô đỗ cửa,3.6,,Nhà môi giới,Nhà ở,,3,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,127.03,Quận Ba Đình, Thành phố Hà Nội
1.07,74,Ngõ 1 ô tô,4.2,Đông,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,14.46,Huyện An Dương, Thành phố Hải Phòng
2.86,75,,5,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,38.13,Huyện Đông Anh, Thành phố Hà Nội
2.65,35,Ngõ 2 ô tô tránh,3.5,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,75.71,Quận Bắc Từ Liêm, Thành phố Hà Nội
12,108,Ngõ 2 ô tô tránh,,,Nhà môi giới,Biệt thự,,,,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",111.11,Huyện Đông Anh, Thành phố Hà Nội
1.99,60,Mặt phố - Mặt đường,,Tây Nam,Chính chủ,Chung cư,,,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,33.08,Quận Ninh Kiều, Thành phố Cần Thơ
2,100,Ngõ 2 ô tô tránh,5,,Chính chủ,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,20,Thị xã Dĩ An, Tỉnh Bình Dương
12,108,Ngõ 3 ô tô tránh,,,Nhà môi giới,Biệt thự,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,111.11,Huyện Đông Anh, Thành phố Hà Nội
2.5,300,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,8.33,Thị xã Bến Cát, Tỉnh Bình Dương
1.68,120,Mặt phố - Mặt đường,5,,Chính chủ,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,14,Huyện Thạnh Phú, Tỉnh Bến Tre
26.5,15000,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,1.77,Huyện Định Quán, Tỉnh Đồng Nai
3.5,260,Mặt phố - Mặt đường,10,Tây Bắc,Chính chủ,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,13.46,Quận Cái Răng, Thành phố Cần Thơ
11.6,112,Mặt phố - Mặt đường,7,,Nhà môi giới,Biệt thự,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,103.57,Huyện Đông Anh, Thành phố Hà Nội
12,17000,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,0.00070588,Huyện Định Quán, Tỉnh Đồng Nai
13.86,7700,Ngõ 4 ô tô trở lên,40,,Chính chủ,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,1.8,Huyện Bắc Bình, Tỉnh Bình Thuận
1.1,80,Ngõ 2 ô tô tránh,5,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",13.75,Quận Đồ Sơn, Thành phố Hải Phòng
1.2,67,,,Đông Nam,Sàn bất động sản,Chung cư,,2,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,17.91,Quận Hà Đông, Thành phố Hà Nội
10,20998,Mặt phố - Mặt đường,,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,0.00047624,Huyện Định Quán, Tỉnh Đồng Nai
0.85,80,Mặt phố - Mặt đường,5,,Khách vãng lai,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,10.63,Thị xã Bến Cát, Tỉnh Bình Dương
3.5,5000,Mặt phố - Mặt đường,50,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,0.0007,Huyện Định Quán, Tỉnh Đồng Nai
3.6,35,Ngõ ngách,3.5,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,102.86,Quận Đống Đa, Thành phố Hà Nội
5,54,Ngõ 1 ô tô,5,,Nhà môi giới,Nhà ở,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,92.59,Quận Tây Hồ, Thành phố Hà Nội
4.2,48,Ngõ 2 ô tô tránh,3.5,,Chính chủ,Nhà ở,2,2,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,87.5,Quận Gò Vấp, Thành phố Hồ Chí Minh
