Price,Location,Area,Street,Facade,Direction,Saler,Type,Floor,Bathrooms,Bedrooms,Legal Doc
1.78 Tỷ - 23.58 Triệu/m²,"Thị xã Thuận An, Tỉnh Bình Dương",75.5 m²,Ngõ ngách,4.1m,---,Nhà môi giới,"Nhà ở, Nhà cấp 4",---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4.5 Tỷ - 109.76 Triệu/m²,"Quận Đống Đa, Thành phố Hà Nội",41 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,Nhà ở,---,---,7,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán"
2.7 Tỷ - 21.95 Triệu/m²,"Thị xã Dĩ An, Tỉnh Bình Dương",123 m²,Ngõ 1 ô tô,5m,---,Nhà môi giới,Phòng trọ/ Nhà trọ,---,---,7,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.75 Tỷ - 39.29 Triệu/m²,"Thị xã Dĩ An, Tỉnh Bình Dương",70 m²,Ngõ 2 ô tô tránh,4.1m,Tây Nam,Nhà môi giới,Nhà ở,---,---,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.6 Tỷ - 42.35 Triệu/m²,"Thị xã Dĩ An, Tỉnh Bình Dương",61.4 m²,Ngõ 3 ô tô tránh,4.1m,Tây Nam,Nhà môi giới,Nhà ở,---,---,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.75 Tỷ - 39.29 Triệu/m²,"Thị xã Dĩ An, Tỉnh Bình Dương",70 m²,Ngõ 2 ô tô tránh,4.1m,Tây Nam,Nhà môi giới,Nhà ở,---,---,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.6 Tỷ - 42.35 Triệu/m²,"Thị xã Dĩ An, Tỉnh Bình Dương",61.4 m²,Ngõ 3 ô tô tránh,4.1m,Tây Nam,Nhà môi giới,Nhà ở,---,---,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.7 Tỷ - 21.6 Triệu/m²,"Huyện Bình Chánh, Thành phố Hồ Chí Minh",125 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán"
14 Tỷ - 96.55 Triệu/m²,"Quận Gò Vấp, Thành phố Hồ Chí Minh",145 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,"Nhà ở, Chung cư mini, Căn hộ cho thuê",---,---,13,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.6 Tỷ - 81.25 Triệu/m²,"Quận Hà Đông, Thành phố Hà Nội",32 m²,Ngõ ngách,7.5m,Nam,Nhà môi giới,Nhà ở,---,3,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4.9 Tỷ - 181.48 Triệu/m²,"Quận Hai Bà Trưng, Thành phố Hà Nội",27 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
550 Triệu - 550 Nghìn/m²,"Thành phố Đồng Xoài, Tỉnh Bình Phước","1,000 m²",Ngõ 4 ô tô tránh,15m,---,Chủ đầu tư,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
11 Tỷ - 200 Triệu/m²,"Quận Đống Đa, Thành phố Hà Nội",55 m²,Mặt phố - Mặt đường,4.5m,---,Nhà môi giới,Nhà ở,---,---,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
5.3 Tỷ - 106 Triệu/m²,"Quận Gò Vấp, Thành phố Hồ Chí Minh",50 m²,Ngõ 1 ô tô,5m,---,Nhà môi giới,Nhà ở,2,2,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
3.6 Tỷ - 180 Triệu/m²,"Quận 1, Thành phố Hồ Chí Minh",20 m²,Ngõ ngách,---,---,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
3.1 Tỷ - 16.94 Triệu/m²,"Huyện Long Điền, Tỉnh Bà Rịa - Vũng Tàu",183 m²,Mặt phố - Mặt đường,6.1m,Đông Nam,Chính chủ,Nhà ở,---,---,1,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
6.4 Tỷ - 74.42 Triệu/m²,"Quận Tân Phú, Thành phố Hồ Chí Minh",86 m²,Ngõ 1 ô tô,4m,---,Nhà môi giới,Nhà ở,---,---,3,---
73 Tỷ - 374.36 Triệu/m²,"Quận Tây Hồ, Thành phố Hà Nội",195 m²,Ngõ 2 ô tô tránh,8m,---,Nhà môi giới,"Căn hộ cho thuê, Căn hộ du lịch - Condotel, Khách sạn - Nhà nghỉ",---,---,---,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán"
6.7 Tỷ - 34.36 Triệu/m²,"Thành phố Bảo Lộc, Tỉnh Lâm Đồng",195 m²,Mặt phố - Mặt đường,7.5m,Tây Bắc,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4.15 Tỷ - 115.28 Triệu/m²,"Quận Hà Đông, Thành phố Hà Nội",36 m²,Ngõ 2 ô tô tránh,4m,---,Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
10 Tỷ - 222.22 Triệu/m²,"Quận Cầu Giấy, Thành phố Hà Nội",45 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,Nhà ở,---,4,4,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán"
5.94 Tỷ - 5 Triệu/m²,"Huyện Long Hồ, Tỉnh Vĩnh Long","1,188.3 m²",Mặt phố - Mặt đường,20m,Đông,Khách vãng lai,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
6 Tỷ - 120 Triệu/m²,"Quận Thanh Xuân, Thành phố Hà Nội",50 m²,Ngõ ô tô đỗ cửa,---,---,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
51 Tỷ - 377.78 Triệu/m²,"Quận Ba Đình, Thành phố Hà Nội",135 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,"Nhà ở, Căn hộ dịch vụ - Homestay, Toà nhà văn phòng",---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
3.35 Tỷ - 83.75 Triệu/m²,"Quận Hà Đông, Thành phố Hà Nội",40 m²,Ngõ ngách,---,---,Chính chủ,Nhà ở,---,---,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
11.5 Tỷ - 143.75 Triệu/m²,"Quận Long Biên, Thành phố Hà Nội",80 m²,Mặt phố - Mặt đường,4m,Đông Nam,Nhà môi giới,Nhà cấp 4,1,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
6.2 Tỷ - 124 Triệu/m²,"Quận Thanh Xuân, Thành phố Hà Nội",50 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,Nhà ở,---,---,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
5.3 Tỷ - 126.19 Triệu/m²,"Quận Đống Đa, Thành phố Hà Nội",42 m²,Mặt phố - Mặt đường,8m,---,Nhà môi giới,Nhà ở,---,---,5,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
3.2 Tỷ - 32 Triệu/m²,"Huyện Bình Chánh, Thành phố Hồ Chí Minh",100 m²,Mặt phố - Mặt đường,4m,Tây,Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
3.2 Tỷ - 32 Triệu/m²,"Huyện Bình Chánh, Thành phố Hồ Chí Minh",100 m²,Mặt phố - Mặt đường,4m,Tây,Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
16.2 Tỷ - 311.54 Triệu/m²,"Quận Cầu Giấy, Thành phố Hà Nội",52 m²,Mặt phố - Mặt đường,5m,---,Nhà môi giới,"Nhà ở, Toà nhà văn phòng, Sàn văn phòng",7,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
5.94 Tỷ - 5 Triệu/m²,"Huyện Long Hồ, Tỉnh Vĩnh Long","1,188.3 m²",Mặt phố - Mặt đường,---,---,Khách vãng lai,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
3.1 Tỷ - 77.5 Triệu/m²,"Quận Cầu Giấy, Thành phố Hà Nội",40 m²,Ngõ 2 ô tô tránh,3.6m,---,Nhà môi giới,Nhà ở,---,---,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
13.5 Tỷ - 225 Triệu/m²,"Quận Cầu Giấy, Thành phố Hà Nội",60 m²,Ngõ 1 ô tô,4m,Đông Bắc,Nhà môi giới,"Nhà ở, Căn hộ du lịch - Condotel, Căn hộ dịch vụ - Homestay",6,---,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.5 Tỷ - 5.75 Triệu/m²,"Thị xã Sơn Tây, Thành phố Hà Nội",261 m²,Ngõ 2 ô tô tránh,8m,---,Nhà đầu tư,Đất - Đất nền - Nhà như đất,---,---,---,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán"
3.5 Tỷ - 70 Triệu/m²,"Quận Bắc Từ Liêm, Thành phố Hà Nội",50 m²,Ngõ 1 ô tô,5m,---,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
900 Triệu - 9 Triệu/m²,"Thành phố Thủ Dầu Một, Tỉnh Bình Dương",100 m²,Mặt phố - Mặt đường,---,---,Quảng cáo,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
3 Tỷ - 33.09 Triệu/m²,"Quận Nam Từ Liêm, Thành phố Hà Nội",90.7 m²,Mặt phố - Mặt đường,---,---,Chính chủ,Chung cư,---,---,---,---
3.7 Tỷ - 68.52 Triệu/m²,"Quận Hà Đông, Thành phố Hà Nội",54 m²,Ngõ ngách,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
12 Tỷ - 226.42 Triệu/m²,"Quận Cầu Giấy, Thành phố Hà Nội",53 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,"Nhà ở, Căn hộ cho thuê, Shophouse - Nhà phố",---,---,8,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán"
10.4 Tỷ - 260 Triệu/m²,"Quận Cầu Giấy, Thành phố Hà Nội",40 m²,Ngõ ô tô đỗ cửa,---,---,Nhà môi giới,"Nhà ở, Căn hộ dịch vụ - Homestay",---,---,5,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
28.5 Tỷ - 193.88 Triệu/m²,"Quận Thanh Xuân, Thành phố Hà Nội",147 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Nhà liền kề - Song lập - Đơn lập,---,---,6,---
4.6 Tỷ - 115 Triệu/m²,"Quận Tân Phú, Thành phố Hồ Chí Minh",40 m²,Ngõ ngách,---,---,Nhà môi giới,Nhà ở,---,---,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
14 Tỷ - 5.19 Triệu/m²,"Huyện Hàm Thuận Bắc, Tỉnh Bình Thuận","2,700 m²",Mặt phố - Mặt đường,---,---,Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4.3 Tỷ - 143.33 Triệu/m²,"Quận Tân Bình, Thành phố Hồ Chí Minh",30 m²,Ngõ 1 ô tô,---,---,Chính chủ,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4.79 Tỷ - 87.09 Triệu/m²,"Quận Hà Đông, Thành phố Hà Nội",55 m²,Ngõ 2 ô tô tránh,---,---,Chính chủ,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
6.5 Tỷ - 90.28 Triệu/m²,"Quận Nam Từ Liêm, Thành phố Hà Nội",72 m²,Ngõ 2 ô tô tránh,3.5m,---,Nhà môi giới,"Chung cư mini, Căn hộ cho thuê, Phòng trọ/ Nhà trọ",---,---,6,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán"
6.6 Tỷ - 188.57 Triệu/m²,"Quận Nam Từ Liêm, Thành phố Hà Nội",35 m²,Ngõ 2 ô tô tránh,3.5m,---,Nhà môi giới,"Shophouse - Nhà phố, Mát xa - Spa, Karaoke",---,3,5,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.8 Tỷ - 11.25 Triệu/m²,"Thị xã Phú Mỹ, Tỉnh Bà Rịa - Vũng Tàu",160 m²,Mặt phố - Mặt đường,8m,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
3.6 Tỷ - 87.8 Triệu/m²,"Quận Đống Đa, Thành phố Hà Nội",41 m²,Ngõ 1 ô tô,3.8m,---,Nhà môi giới,Nhà ở,---,---,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.95 Tỷ - 66.44 Triệu/m²,"Quận Ba Đình, Thành phố Hà Nội",44.4 m²,Ngõ ngách,3.5m,Đông Nam,Chính chủ,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
11 Tỷ - 114.58 Triệu/m²,"Quận Thanh Xuân, Thành phố Hà Nội",96 m²,Ngõ 1 ô tô,---,---,Nhà môi giới,Nhà ở,---,3,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
3 Tỷ - 39.42 Triệu/m²,"Quận Bắc Từ Liêm, Thành phố Hà Nội",76.1 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Chung cư,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
6.3 Tỷ - 112.5 Triệu/m²,"Quận Gò Vấp, Thành phố Hồ Chí Minh",56 m²,Ngõ 1 ô tô,4m,---,Nhà môi giới,Nhà ở,---,---,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
6.5 Tỷ - 108.33 Triệu/m²,"Quận Nam Từ Liêm, Thành phố Hà Nội",60 m²,Ngõ 1 ô tô,---,---,Nhà môi giới,"Nhà ở, Chung cư mini",---,---,12,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.6 Tỷ - 32.5 Triệu/m²,"Quận 12, Thành phố Hồ Chí Minh",80 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Chung cư,---,2,3,Hợp đồng mua bán
4.9 Tỷ - 98 Triệu/m²,"Quận Thủ Đức, Thành phố Hồ Chí Minh",50 m²,Ngõ ô tô đỗ cửa,5m,Tây Bắc,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
5.98 Tỷ - 99.67 Triệu/m²,"Quận Nam Từ Liêm, Thành phố Hà Nội",60 m²,Ngõ 1 ô tô,5.4m,---,Nhà môi giới,Chung cư mini,---,9,9,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
5 Tỷ - 125 Triệu/m²,"Quận Ba Đình, Thành phố Hà Nội",40 m²,Ngõ 1 ô tô,---,---,Nhà môi giới,Nhà ở,---,---,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
16.5 Tỷ - 5.5 Triệu/m²,"Thị xã Bến Cát, Tỉnh Bình Dương","3,000 m²",Mặt phố - Mặt đường,---,---,Quảng cáo,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
7.5 Tỷ - 681.82 Nghìn/m²,"Huyện Lương Sơn, Tỉnh Hoà Bình","11,000 m²",Mặt phố - Mặt đường,---,---,Khách vãng lai,Đất - Đất nền - Nhà như đất,---,---,---,---
2.4 Tỷ - 75 Triệu/m²,"Quận Hoàng Mai, Thành phố Hà Nội",32 m²,Ngõ ngách,7.2m,---,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.25 Tỷ - 19.84 Triệu/m²,"Thành phố Quy Nhơn, Tỉnh Bình Định",63 m²,Mặt phố - Mặt đường,7m,Tây Bắc,Chính chủ,Chung cư,22,2,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.48 Tỷ - 59.05 Triệu/m²,"Huyện Nhà Bè, Thành phố Hồ Chí Minh",42 m²,Ngõ 1 ô tô,3m,---,Nhà môi giới,Nhà ở,---,---,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
3.15 Tỷ - 92.65 Triệu/m²,"Quận Bình Thạnh, Thành phố Hồ Chí Minh",34 m²,Ngõ 1 ô tô,---,---,Chính chủ,Nhà ở,---,---,1,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
570 Triệu - 7.13 Triệu/m²,"Thị xã Bến Cát, Tỉnh Bình Dương",80 m²,Mặt phố - Mặt đường,4.5m,---,Nhà môi giới,Chung cư,---,---,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
Thương lượng,"Thành phố Quy Nhơn, Tỉnh Bình Định",85 m²,Mặt phố - Mặt đường,5m,Tây Bắc,Chính chủ,Chung cư,16,1,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.8 Tỷ - 84.85 Triệu/m²,"Quận Hà Đông, Thành phố Hà Nội",33 m²,Ngõ ô tô đỗ cửa,---,---,Nhà môi giới,Nhà ở,---,2,2,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán"
1.7 Tỷ - 14.91 Triệu/m²,"Thành phố Quy Nhơn, Tỉnh Bình Định",114 m²,Mặt phố - Mặt đường,6m,Tây Bắc,Chính chủ,Chung cư,22,1,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.25 Tỷ - 107.14 Triệu/m²,"Huyện Nhà Bè, Thành phố Hồ Chí Minh",21 m²,Ngõ ô tô đỗ cửa,3m,---,Nhà môi giới,Nhà ở,---,---,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4.3 Tỷ - 119.44 Triệu/m²,"Quận Bình Thạnh, Thành phố Hồ Chí Minh",36 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.45 Tỷ - 49 Triệu/m²,"Huyện Nhà Bè, Thành phố Hồ Chí Minh",50 m²,Mặt phố - Mặt đường,4.6m,---,Nhà môi giới,Nhà ở,---,---,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
3 Tỷ - 54.55 Triệu/m²,"Quận Tân Bình, Thành phố Hồ Chí Minh",55 m²,Ngõ 2 ô tô tránh,---,---,Chính chủ,Chung cư,3,1,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
Thương lượng,"Huyện Lương Sơn, Tỉnh Hoà Bình","6,000 m²",Ngõ 1 ô tô,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
86.8 Tỷ - 350 Triệu/m²,"Quận Đống Đa, Thành phố Hà Nội",248 m²,Mặt phố - Mặt đường,7m,---,Nhà môi giới,"Nhà cấp 4, Đất - Đất nền - Nhà như đất",---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
6 Tỷ - 200 Triệu/m²,"Quận Đống Đa, Thành phố Hà Nội",30 m²,Ngõ 2 ô tô tránh,3.8m,---,Nhà môi giới,Nhà ở,---,---,---,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán"
3.2 Tỷ - 145.45 Triệu/m²,"Quận Bình Thạnh, Thành phố Hồ Chí Minh",22 m²,Ngõ 1 ô tô,3.4m,---,Chính chủ,Nhà ở,---,---,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
6 Tỷ - 200 Triệu/m²,"Quận Đống Đa, Thành phố Hà Nội",30 m²,Ngõ 2 ô tô tránh,3.8m,---,Nhà môi giới,Nhà ở,---,---,---,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán"
3.2 Tỷ - 145.45 Triệu/m²,"Quận Bình Thạnh, Thành phố Hồ Chí Minh",22 m²,Ngõ 1 ô tô,3.4m,---,Chính chủ,Nhà ở,---,---,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
6.3 Tỷ - 73.26 Triệu/m²,"Quận Tân Phú, Thành phố Hồ Chí Minh",86 m²,Ngõ 1 ô tô,---,---,Nhà môi giới,Nhà ở,---,---,3,---
7.9 Tỷ - 136.21 Triệu/m²,"Quận Đống Đa, Thành phố Hà Nội",58 m²,---,---,---,Nhà môi giới,Nhà ở,---,---,---,---
4.1 Tỷ - 75.93 Triệu/m²,"Quận Thanh Xuân, Thành phố Hà Nội",54 m²,Ngõ ngách,4.9m,---,Nhà môi giới,Nhà ở,---,3,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.05 Tỷ - 10.82 Triệu/m²,"Quận Gò Vấp, Thành phố Hồ Chí Minh",97 m²,Mặt phố - Mặt đường,4m,---,Nhà môi giới,Nhà ở,---,---,1,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
35 Tỷ - 222.93 Triệu/m²,"Quận Nam Từ Liêm, Thành phố Hà Nội",157 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,"Đất - Đất nền - Nhà như đất, Shophouse - Nhà phố, Toà nhà văn phòng",---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
5 Tỷ - 45.45 Triệu/m²,"Quận Hai Bà Trưng, Thành phố Hà Nội",110 m²,Ngõ 3 ô tô tránh,7m,---,Nhà môi giới,Chung cư,---,2,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
5.1 Tỷ - 91.07 Triệu/m²,"Quận Gò Vấp, Thành phố Hồ Chí Minh",56 m²,Ngõ 1 ô tô,4m,---,Nhà môi giới,Nhà ở,---,3,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
5 Tỷ - 83.33 Triệu/m²,"Quận Hà Đông, Thành phố Hà Nội",60 m²,Ngõ 1 ô tô,5.2m,---,Nhà môi giới,Nhà ở,---,---,---,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán"
21.5 Tỷ - 1.54 Triệu/m²,"Thị xã Mỹ Hào, Tỉnh Hưng Yên","14,000 m²",Ngõ 2 ô tô tránh,---,---,Nhà môi giới,"Kho bãi - Nhà xưởng, Khu công nghiệp",---,---,---,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán"
18.3 Tỷ - 175.12 Triệu/m²,"Huyện Văn Giang, Tỉnh Hưng Yên",104.5 m²,Mặt phố - Mặt đường,5.5m,---,Chính chủ,Nhà liền kề - Song lập - Đơn lập,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
26 Tỷ - 325 Triệu/m²,"Quận Cầu Giấy, Thành phố Hà Nội",80 m²,Ngõ 1 ô tô,7.2m,Nam,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
6.15 Tỷ - 161.84 Triệu/m²,"Quận Nam Từ Liêm, Thành phố Hà Nội",38 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,Nhà ở,---,---,---,---
6.7 Tỷ - 159.52 Triệu/m²,"Quận Ba Đình, Thành phố Hà Nội",42 m²,Ngõ 1 ô tô,---,---,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
6.5 Tỷ - 118.18 Triệu/m²,"Quận Nam Từ Liêm, Thành phố Hà Nội",55 m²,Ngõ 1 ô tô,4.6m,Tây Nam,Chủ đầu tư,Nhà ở,---,---,---,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán"
3 Tỷ - 25 Triệu/m²,"Thị xã Từ Sơn, Tỉnh Bắc Ninh",120 m²,Ngõ 2 ô tô tránh,6m,---,Nhà môi giới,Nhà ở,---,---,1,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
800 Triệu - 8 Triệu/m²,"Thành phố Tam Kỳ, Tỉnh Quảng Nam",100 m²,Ngõ 1 ô tô,5m,Tây Bắc,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
8.9 Tỷ - 171.15 Triệu/m²,"Quận Cầu Giấy, Thành phố Hà Nội",52 m²,Mặt phố - Mặt đường,4m,---,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.3 Tỷ - 10.4 Triệu/m²,"Thành phố Quảng Ngãi, Tỉnh Quảng Ngãi",125 m²,Mặt phố - Mặt đường,5m,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
Thương lượng,"Huyện Chương Mỹ, Thành phố Hà Nội",168 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán"
Thương lượng,"Huyện Chương Mỹ, Thành phố Hà Nội",72 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán"
750 Triệu - 6 Triệu/m²,"Huyện Đất Đỏ, Tỉnh Bà Rịa - Vũng Tàu",125 m²,Mặt phố - Mặt đường,---,---,Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.6 Tỷ - 72.22 Triệu/m²,"Quận Gò Vấp, Thành phố Hồ Chí Minh",36 m²,Ngõ ngách,4m,---,Nhà môi giới,Nhà ở,---,---,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
Thương lượng,"Huyện Chương Mỹ, Thành phố Hà Nội","1,170 m²",Ngõ 1 ô tô,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán"
2.35 Tỷ - 78.33 Triệu/m²,"Quận Hà Đông, Thành phố Hà Nội",30 m²,Ngõ ngách,5m,Tây,Chính chủ,Nhà ở,5,3,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.5 Tỷ - 75.76 Triệu/m²,"Quận Thanh Xuân, Thành phố Hà Nội",33 m²,Ngõ ngách,5m,---,Nhà môi giới,Nhà ở,---,---,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
27.5 Tỷ - 289.47 Triệu/m²,"Quận Thanh Xuân, Thành phố Hà Nội",95 m²,Ngõ 2 ô tô tránh,17m,---,Nhà môi giới,"Nhà ở, Biệt thự - Song lập - Đơn lập, Toà nhà văn phòng",---,---,---,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán"
30 Tỷ - 6 Triệu/m²,"Huyện Tiên Du, Tỉnh Bắc Ninh","5,000 m²",Ngõ 3 ô tô tránh,---,---,Nhà môi giới,"Kho bãi - Nhà xưởng, Khu công nghiệp",---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
